ASIN,date,question,answer,author_of_answer
B00M9M8MFC,2018-03-26,Has anyone tried both the baby white and this premium lady finger so you can give a comparison?,I prefer the lady finger. It is smaller and no husks.,Elaine W.
B00M9M8MFC,2013-10-08,is it gmo free?,I'm sorry--I don't know the answer to that--wasn't on packaging.,Elaine W.
B00M9M8MFC,2016-07-23,Is it gmo free?,The tender white bag says no GMOs.,Elaine W.
B00M9M8MFC,2014-12-17,what is the difference between baby white and ladyfinger kernels,Ladyfinger is yellow,Elaine W.
B00M9M8MFC,,My kids can't eat popcorn because the orthodontist says hulls get stuck in braces. This says that the hulls disintegrate. Is this really hulless?,"This is practically hulless, but there is a little that does get stuck in the teeth, but not like regular popcorn. I don't think I would use it if the orthodontist doesn't want anything to stick in the braces. These grains are very tiny - even too small to pop in an air popper (they won't stay in long enough to pop!). … see more",Elaine W.
B00M9M8MFC,2017-02-15,"If planted, will it grow?",no,Elaine W.
B00M9M8MFC,,Any good tips on popping these?,"If you cook with gas or electric coils, no problem. If you have a ceramic-electric cooktop, you MUST have a perfectly flat-bottomed pot to get adequate heat transfer. I use a popper with a stirring mechanism, I find it much easier than swirling the contents in a standard pot.
1) put oil in pan, along with a few kernel… see more",Elaine W.
B00M9M8MFC,2015-02-01,does anyone know if this is GMO free?,I'm sorry but I cannot answer that question,Elaine W.
B00M9M8MFC,2017-06-12,Will this pop in a hot air corn popper?,I love this popcorn but have not had the best of luck using it in an air popper.,Elaine W.
B00M9M8MFC,2017-06-08,Is this corn nearly hulless?,"Yes, no hulls stuck in your teeth after eating this!",Elaine W.
B003ZJQHSM,2018-10-15,where is the ingredients list?,The ingredients for our Peanut Oil is just Peanut Oil with natural color added.,Amish Country Popcorn
B003WG54TQ,2015-11-29,Is there anything in this besides salt?,"No, it's very fine salt consisti of flour, unless you ordered a flavored salt like butter or cheese.",Walter J. Hathaway
B003WG54TQ,2016-10-09,Is this actually a salt shaker or just a jar of salt?,Hi! It is a salt shaker!,Walter J. Hathaway
B07CV4L94Y,2018-09-18,"What is the carb count on this seasoning, please?","The nutrition label states 0 carbs for a 1-gram serving; HOWEVER, at the bottom of this same label it says, “Calories per gram: Fat (9), Carbohydrates (4), Protein (4).”",Echo
B00M9MGUQ0,2017-03-22,"Does this ""mushroom"" in an air popper? i understand if using oil, it should be 450ºf to generate the internal pressure req'd to get the mushroom. tia!",I use a silicone microwave popper. I have used it both with and without oil and it pops up nice and round with both methods.,Kirsten M Krawec
B00M9MGUQ0,2018-08-10,How do I download the ebook that is supposed to come with the popcorn?,I had to send them an email an they sent me an email back with a link to the recipes,Kirsten M Krawec
