author,author_id,date,rating,rating_text,text,title,url,variation,verified,vine,asin
Amanda Froelich,/gp/profile/amzn1.account.AEEKF25XSOON2KKKHSUHM52D3BIA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 19, 2018",5.0,5.0 out of 5 stars,Incredible quality. Needs to be on every moms must have baby list!,Wish I could give more stars!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B074F4CPYJ
Heidi Hibbard,/gp/profile/amzn1.account.AH6EDDIYDY2X73YSH77CVHA56GSQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on July 9, 2018",5.0,5.0 out of 5 stars,Softest fabric of any swaddle currently on the market.,5 stars for quality,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B074F4CPYJ
Adriana calvo,/gp/profile/amzn1.account.AH2TFZWDYZE6CHPVVXEPPAVHYCMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 14, 2018",5.0,5.0 out of 5 stars,Super soft and LOVE the color!!!,Super soft!!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B074F4CPYJ
Tristyn Hand,/gp/profile/amzn1.account.AE2QXKYA5J56OHH5XJAD6QWILUAQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on February 28, 2018",5.0,5.0 out of 5 stars,Love this blanket!! It’s so soft and makes swaddling a breeze! Can’t wait to get more!,So soft!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B074F4CPYJ
Crystal Huefner,/gp/profile/amzn1.account.AE3UHWOA3VGOSMO4YPYL4DWRRKMQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on April 5, 2018",5.0,5.0 out of 5 stars,Best swaddle blankets ever!,Five Stars,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B074F4CPYJ
Wendy dean,/gp/profile/amzn1.account.AFZ6NSJZ5VYXQUCYMGQ7CPYUPB4Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"on February 15, 2018",4.0,4.0 out of 5 stars,soft and beautiful,Four Stars,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
cYNTHIA omORROW,/gp/profile/amzn1.account.AEAYO2SRUGSYQCM4T2ZVMKGIVMHA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 31, 2018",5.0,5.0 out of 5 stars,They are so soft and breathable unlike muslin.  I looked a long time before finding the perfect swaddle blanket for my daughter-in-law  I  ordered five of them for my second granddaughter! And they wash up beautifully.,I looked a long time before finding the perfect swaddle blanket for my daughter-in-law I ordered five of ...,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
Jessica,/gp/profile/amzn1.account.AFWHNLUHSAQ446G5DFOIQTWUA3KQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on May 3, 2018",1.0,1.0 out of 5 stars,It got nubby after about the third wash. Very disappointed,Very disappointed,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
joni,/gp/profile/amzn1.account.AHMLG22N2ZXVWFP7NFBYKDLEEJ5A/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 1, 2018",1.0,1.0 out of 5 stars,PILLS WITH FIRST WASH,PILLS WITH FIRST WASH!!!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
AmazonCustomer,/gp/profile/amzn1.account.AHTJGZM7SEAMPMRW2QYLDGV6TOTQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 13, 2018",5.0,5.0 out of 5 stars,"Best all around swaddle, soft, stretchy and big!",Best swaddle blanket around!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
Amanda,/gp/profile/amzn1.account.AERPFBT4B3JSHRQYLHNH7VUJMYRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 12, 2018",5.0,5.0 out of 5 stars,"So soft, beautiful saturated color. Large size will be perfect for swaddling or as a blanket.",So soft and great quality!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
Caitlin,/gp/profile/amzn1.account.AELMZINK4C5P6ZC2IVAS3T6ASR7Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"on February 13, 2018",5.0,5.0 out of 5 stars,In love with this swaddle and I haven’t even used it yet. It’s so soft and a great size and I can’t wait to use it on my little man!,In love with this swaddle and I haven’t even used it ...,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
Cameron A.,/gp/profile/amzn1.account.AE2P75TCOUQET46DSPJS64266ZJQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 19, 2018",5.0,5.0 out of 5 stars,We love this swaddle for our daughter! Highly recommended.,Five Stars,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
Smiths,/gp/profile/amzn1.account.AHBMYFNBTWDOIMIV53LHTT2LNIDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 9, 2018",5.0,5.0 out of 5 stars,Best swaddles. They can’t break out of them!,"Soft, and snug",https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
Kamaran,/gp/profile/amzn1.account.AGTUWSYBWCUPADL7UDH6WBQP5ZKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on July 1, 2018",5.0,5.0 out of 5 stars,So soft and stretchy! Love this simple colors too!,Love!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_2?ie=UTF8&pageNumber=2,N/A,1,0,B074F4CPYJ
A + A Lewis,/gp/profile/amzn1.account.AHCDLZFCY4E3DD7DQONKKFNNYJKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 14, 2018",5.0,5.0 out of 5 stars,Beautiful and buttery soft fabric. I’m hoping this will be his favorite blanket for years to come. We bought this and the matching beanie. It’s stretchy and our favorite blanket to swaddle in. We got so many compliments from the nurses and doctors at the hospital where we delievered.,LOVE,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
B Schw,/gp/profile/amzn1.account.AHMFFK3LOV3F7GGSTIZZNOWKYG5Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"on July 20, 2018",5.0,5.0 out of 5 stars,These are perfect for swaddling. I normally use tula blankets or Aden but these work so much better. I had two sets with me at the hospital and every nurse commented on how much they loved them. My son is so cozy in these i ordered two more.,Love,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
